-999 45.99 -74.01
year month day global_rad(MJ/m2) cloud_cov(-) air_temp(C) rel_hum(%) air_press(hPa) wind_sp(m/s) precip(mm/day) inflow(m3/day) inflow_T(C) inflow_C(-) inflow_S(kg/m3) inflow_TP(mg/m3) inflow_DOP(mg/m3) inflow_chla(mg/m3) inflow_DOC(mg/m3) 
2015  2 13 12.937 0.395 -23.47  56.75  981.36  3.773  0.126    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 14  8.386 0.964 -20.18  74.77  973.90  3.360  1.534    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 15 13.197 0.376 -21.07  57.83  978.93  5.714  0.043    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 16 13.434 0.000 -20.68  49.47  982.16  5.168  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 17 12.107 0.734 -19.87  58.67  978.96  1.279  0.014    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 18 12.356 0.690 -15.59  64.24  975.54  1.649  0.344    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 19  7.436 0.994 -12.76  74.62  969.88  4.004  2.935    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 20 13.460 0.494 -17.76  62.40  979.39  5.138  0.445    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 21  7.367 0.928 -15.23  76.79  986.76  2.213  4.343    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 22 12.250 0.844  -9.80  79.71  984.28  2.728  0.997    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 23 14.671 0.505 -21.69  56.44  988.65  4.747  0.060    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 24 11.852 0.712 -19.61  65.88  979.04  3.189  0.221    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 25 11.736 0.641 -12.66  66.47  971.94  3.705  0.958    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 26 14.629 0.615 -19.53  56.88  984.62  2.000  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 27 15.767 0.021 -17.42  54.63  991.14  3.585  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  2 28 15.798 0.041 -13.12  65.24 1000.46  3.989  0.001    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3  1 13.548 0.927 -10.53  70.32  993.53  2.248  0.481    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3  2 12.546 0.655  -8.74  69.65  982.48  4.593  0.693    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3  3 14.366 0.566 -11.76  65.98  984.35  2.787  5.438    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3  4 10.079 0.757  -4.67  69.09  969.71  5.031  1.272    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3  5 16.727 0.291 -14.77  51.93  986.19  3.469  0.059    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3  6 17.102 0.171 -15.07  59.01  990.52  4.167  0.005    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3  7 10.512 0.936  -7.68  74.16  980.47  3.622  0.903    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3  8 12.072 0.689  -5.81  81.52  979.40  2.579  1.463    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3  9 14.003 0.875  -3.38  72.88  981.63  3.821  1.332    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 10 15.112 0.654   0.88  68.95  982.79  3.413  0.359    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 11 16.845 0.435   3.59  60.90  975.93  5.091  0.472    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 12 18.718 0.110  -8.17  49.50  995.22  4.996  0.210    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 13 13.525 0.817  -8.00  67.61  997.40  1.731  0.925    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 14  4.509 0.991  -4.00  84.94  980.86  3.604 11.081    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 15  9.103 0.708  -3.35  84.06  976.97  4.081  6.675    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 16 14.169 0.865  -4.18  76.77  977.85  1.442  0.046    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 17 12.073 0.671  -3.58  70.06  970.51  4.389  3.776    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 18 19.477 0.294 -11.52  50.46  981.66  5.205  0.037    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
