"","depths","Area.at.z"
"1",0,8400
"2",1,6476.14515169542
"3",2,4802.14158239143
"4",3,3377.98929208804
"5",4,2203.68828078525
"6",5,1279.23854848305
"7",6,604.640095181439
"8",7,179.892920880428
"9",8,4.99702558001187
