"","depths","Area.at.z"
"1",0,8400
"2",1,7522.46245344387
"3",2,6805.04657457902
"4",3,6040.63824155181
"5",4,5144.67166100159
"6",5,4078.74611862545
"7",6,2841.71032728285
"8",7,1481.5649295604
"9",8,177.360363116074
