id,Depth,Date,year,Temperature,airP_hPa,z_m,airT_oC
waterT01_0.5m_oC,0.5,2018-05-10,2018,7.287,958.7866666666666,10.185763578796033,13.786666666666667
waterT01_0.5m_oC,0.5,2018-05-11,2018,6.663986111111111,971.6090277777778,10.217900772548333,4
waterT01_0.5m_oC,0.5,2018-05-12,2018,7.673097222222222,976.7625,10.216808314100357,6.135416666666667
waterT01_0.5m_oC,0.5,2018-05-13,2018,9.532083333333333,975.8347222222222,10.189394014520758,9.402083333333334
waterT01_0.5m_oC,0.5,2018-05-14,2018,11.708819444444444,968.0534722222222,10.154782349009773,14.42361111111111
waterT01_0.5m_oC,0.5,2018-05-15,2018,13.245902777777777,965.81875,10.148195173824789,14.640972222222222
waterT01_0.5m_oC,0.5,2018-05-16,2018,12.65076388888889,974.7381944444444,10.130506041606122,8.817361111111111
waterT01_0.5m_oC,0.5,2018-05-17,2018,13.907430555555555,973.0118055555555,10.136304753449615,13.702083333333333
waterT01_0.5m_oC,0.5,2018-05-18,2018,14.126527777777778,984.9229166666667,10.145817444526022,7.740972222222222
waterT01_0.5m_oC,0.5,2018-05-19,2018,14.461597222222222,980.7048611111111,10.138621307565106,9.560416666666667
waterT01_0.5m_oC,0.5,2018-05-20,2018,14.420208333333333,968.9611111111111,10.156013119215586,12.86111111111111
waterT01_0.5m_oC,0.5,2018-05-21,2018,15.150416666666667,975.4083333333333,10.164714193373314,13.629861111111111
waterT01_0.5m_oC,0.5,2018-05-22,2018,15.915,974.9145833333333,10.156276819952677,14.727083333333333
waterT01_0.5m_oC,0.5,2018-05-23,2018,16.27375,969.6840277777778,10.154544198537051,14.504166666666666
waterT01_0.5m_oC,0.5,2018-05-24,2018,16.64375,975.2888888888889,10.152946076627707,13.722222222222221
waterT01_0.5m_oC,0.5,2018-05-25,2018,17.801597222222224,965.9958333333333,10.152917204142087,19.949305555555554
waterT01_0.5m_oC,0.5,2018-05-26,2018,19.15111111111111,965.5979166666667,10.154752602684011,18.6875
waterT01_0.5m_oC,0.5,2018-05-27,2018,18.56861111111111,974.7069444444445,10.150408036256009,12.909027777777778
waterT01_0.5m_oC,0.5,2018-05-28,2018,17.66034722222222,971.85625,10.154129807466242,14.340277777777779
waterT01_0.5m_oC,0.5,2018-05-29,2018,18.58375,974.0083333333333,10.158990220355006,17.97361111111111
waterT01_0.5m_oC,0.5,2018-05-30,2018,19.98465277777778,977.0395833333333,10.158774517093558,16.752777777777776
waterT01_0.5m_oC,0.5,2018-05-31,2018,21.414444444444445,971.0736111111111,10.159402169771981,20.804861111111112
waterT01_0.5m_oC,0.5,2018-06-01,2018,22.709305555555556,966.2055555555555,10.159528632639875,22.075694444444444
waterT01_0.5m_oC,0.5,2018-06-02,2018,21.854305555555555,970.7215277777777,10.19299242060518,17.278472222222224
waterT01_0.5m_oC,0.5,2018-06-03,2018,21.004236111111112,974.2006944444445,10.365987016250877,14.16388888888889
waterT01_0.5m_oC,0.5,2018-06-04,2018,19.72,963.7611111111111,10.239455028957108,9.7125
waterT01_0.5m_oC,0.5,2018-06-05,2018,18.227777777777778,959.3569444444445,10.174295586059236,11.390277777777778
waterT01_0.5m_oC,0.5,2018-06-06,2018,18.124375,967.6486111111111,10.11988300562204,10.906944444444445
waterT01_0.5m_oC,0.5,2018-06-07,2018,17.994444444444444,972.6111111111111,10.118654588553005,13.565277777777778
waterT01_0.5m_oC,0.5,2018-06-08,2018,18.37034722222222,977.0145833333333,10.112640557257913,14.409722222222221
waterT01_0.5m_oC,0.5,2018-06-09,2018,18.845972222222223,977.4798611111111,10.16088215543364,13.978472222222223
waterT01_0.5m_oC,0.5,2018-06-10,2018,19.023958333333333,976.9979166666667,10.165171621071188,12.209722222222222
waterT01_0.5m_oC,0.5,2018-06-11,2018,19.624166666666667,977.0326388888889,10.161900886275012,13.588888888888889
waterT01_0.5m_oC,0.5,2018-06-12,2018,20.288611111111113,973.6861111111111,10.12908152815238,17.145138888888887
waterT01_0.5m_oC,0.5,2018-06-13,2018,20.75409722222222,965.95625,10.018668064031944,18.508333333333333
waterT01_0.5m_oC,0.5,2018-06-14,2018,20.24277777777778,961.10625,10.041943744805815,14.203472222222222
waterT01_0.5m_oC,0.5,2018-06-15,2018,19.736597222222223,970.9520833333333,10.039808074891926,15.9625
waterT01_0.5m_oC,0.5,2018-06-16,2018,20.70451388888889,972.0715277777778,10.029156807285528,18.477083333333333
waterT01_0.5m_oC,0.5,2018-06-17,2018,21.941875,973.6770833333334,10.02347914142161,19.886805555555554
waterT01_0.5m_oC,0.5,2018-06-18,2018,22.640763888888888,966.2222222222222,10.050678124382152,21.31597222222222
waterT01_0.5m_oC,0.5,2018-06-19,2018,21.61451388888889,968.0701388888889,10.097181840752055,16.825694444444444
waterT01_0.5m_oC,0.5,2018-06-20,2018,21.495208333333334,967.9020833333333,10.117298308276638,16.771527777777777
waterT01_0.5m_oC,0.5,2018-06-21,2018,21.159305555555555,969.1597222222222,10.08364062729259,13.904861111111112
waterT01_0.5m_oC,0.5,2018-06-22,2018,21.51701388888889,973.6618055555556,10.069884931398587,14.345138888888888
waterT01_0.5m_oC,0.5,2018-06-23,2018,21.841527777777777,970.5513888888889,10.056880132217536,15.72638888888889
waterT01_0.5m_oC,0.5,2018-06-24,2018,21.2775,967.6895833333333,10.057520760784776,15.538194444444445
waterT01_0.5m_oC,0.5,2018-06-25,2018,20.649375,974.6381944444445,10.071386868930203,13.900694444444444
