"","datetime","thermo.depth"
"1",2015-05-14,1.88955793085803
"2",2015-05-15,1.76437428509058
"3",2015-05-16,1.81263607231692
"4",2015-05-17,1.58360613460715
"5",2015-05-18,1.39762400035535
"6",2015-05-19,1.55353249449984
"7",2015-05-20,1.86168181433927
"8",2015-05-21,2.09862044103834
"9",2015-05-22,2.40748369442409
"10",2015-05-23,2.51870125968387
"11",2015-05-24,2.47700480930441
"12",2015-05-25,2.49082625544588
"13",2015-05-26,2.38352619312139
"14",2015-05-27,2.2472849318227
"15",2015-05-28,2.10472790423356
"16",2015-05-29,1.93134358375611
"17",2015-05-30,1.99813864996821
"18",2015-05-31,2.33880397632818
"19",2015-06-01,2.46749565167239
"20",2015-06-02,2.56234685988709
"21",2015-06-03,2.53713493193458
"22",2015-06-04,2.47444684468755
"23",2015-06-05,2.4871116308896
"24",2015-06-06,2.50990105103513
"25",2015-06-07,2.52114967334538
"26",2015-06-08,2.55627777378987
"27",2015-06-09,2.54975426568608
"28",2015-06-10,2.50242470601703
"29",2015-06-11,2.52063412552429
"30",2015-06-12,2.53955469161603
"31",2015-06-13,2.50079591672314
"32",2015-06-14,2.46817560909878
"33",2015-06-15,2.48324567050157
"34",2015-06-16,2.51323890559877
"35",2015-06-17,2.50389742008813
"36",2015-06-18,2.47372220821873
"37",2015-06-19,2.51438555880831
"38",2015-06-20,2.50379858445076
"39",2015-06-21,2.502151292777
"40",2015-06-22,2.47762359984446
"41",2015-06-23,2.53998696405895
"42",2015-06-24,2.57103328325247
"43",2015-06-25,2.57467537445061
"44",2015-06-26,2.58114050444787
"45",2015-06-27,2.56984035932004
"46",2015-06-28,2.61305223632037
"47",2015-06-29,2.63617097969276
"48",2015-06-30,2.60774892050327
"49",2015-07-01,2.65363397665167
"50",2015-07-02,2.69394038064245
"51",2015-07-03,2.66292800901439
"52",2015-07-04,2.62680948873146
"53",2015-07-05,2.61212855066357
"54",2015-07-06,2.56605149734652
"55",2015-07-07,2.5398509866757
"56",2015-07-08,2.56083490396486
"57",2015-07-09,2.58950748888114
"58",2015-07-10,2.59181428421801
"59",2015-07-11,2.58398535338934
"60",2015-07-12,2.54173572571826
"61",2015-07-13,2.52212498798401
"62",2015-07-14,2.54946520715543
"63",2015-07-15,2.62832764460196
"64",2015-07-16,2.6376637241399
"65",2015-07-17,2.65044642216695
"66",2015-07-18,2.67606426398121
"67",2015-07-19,2.66081454558629
"68",2015-07-20,2.64312013202751
"69",2015-07-21,2.68010432023149
"70",2015-07-22,2.7380291176064
"71",2015-07-23,2.78896113993024
"72",2015-07-24,2.8081216892296
"73",2015-07-25,2.83022028680601
"74",2015-07-26,2.78850770134898
"75",2015-07-27,2.72850012962825
"76",2015-07-28,2.68016946686146
"77",2015-07-29,2.59183977458786
"78",2015-07-30,2.64324204332787
"79",2015-07-31,2.69538096095564
"80",2015-08-01,2.71906642744197
"81",2015-08-02,2.7452667354766
"82",2015-08-03,2.8211140485981
"83",2015-08-04,2.8608998873549
"84",2015-08-05,2.94089141206301
"85",2015-08-06,3.18158260253057
"86",2015-08-07,3.2708710818482
"87",2015-08-08,3.2873985136102
"88",2015-08-09,3.29573982510559
"89",2015-08-10,3.25960264749706
"90",2015-08-11,3.31041864713516
"91",2015-08-12,3.39317957480354
"92",2015-08-13,3.42395555914787
"93",2015-08-14,3.39518193525319
"94",2015-08-15,3.38011267805151
"95",2015-08-16,3.35125717672371
"96",2015-08-17,3.31902630180477
"97",2015-08-18,3.28465787216689
"98",2015-08-19,3.22319505083512
"99",2015-08-20,3.10885170229628
"100",2015-08-21,3.00535966419194
"101",2015-08-22,2.96385891591104
"102",2015-08-23,2.92637072829683
"103",2015-08-24,2.9575661936634
"104",2015-08-25,3.08829876970909
"105",2015-08-26,3.24703031615549
"106",2015-08-27,3.35745293956256
"107",2015-08-28,3.4150086471515
"108",2015-08-29,3.46513147287026
"109",2015-08-30,3.48034444523833
"110",2015-08-31,3.50971212402768
"111",2015-09-01,3.485700785729
"112",2015-09-02,3.46991246571129
"113",2015-09-03,3.43645436276474
"114",2015-09-04,3.44867465405818
"115",2015-09-05,3.44781722838541
"116",2015-09-06,3.4170450568776
"117",2015-09-07,3.36646554814195
"118",2015-09-08,3.34068758648383
"119",2015-09-09,3.34648168395691
"120",2015-09-10,3.36193981957412
"121",2015-09-11,3.42767758792703
"122",2015-09-12,3.57043232111975
"123",2015-09-13,3.63394474351628
"124",2015-09-14,3.67020772816849
"125",2015-09-15,3.66976444047379
"126",2015-09-16,3.65314772249845
"127",2015-09-17,3.6321115253914
"128",2015-09-18,3.60913960576205
"129",2015-09-19,3.61559777996054
"130",2015-09-20,3.69800282398728
"131",2015-09-21,3.72910334238399
"132",2015-09-22,3.76381080875762
"133",2015-09-23,3.8274578862765
"134",2015-09-24,3.96219117411142
"135",2015-09-25,4.26426230089992
"136",2015-09-26,4.41335285619357
"137",2015-09-27,4.46785976756758
"138",2015-09-28,4.49722346498742
"139",2015-09-29,4.51936402721523
"140",2015-09-30,4.68342432937024
"141",2015-10-01,4.88794923736027
"142",2015-10-02,5.44271430682147
"143",2015-10-03,5.5720904057577
"144",2015-10-04,5.59771122925646
"145",2015-10-05,5.62462179862912
"146",2015-10-06,5.61983672997259
"147",2015-10-07,5.65631706261909
"148",2015-10-08,5.70297822308965
"149",2015-10-09,6.23093672496752
"150",2015-10-10,6.4943748439023
"151",2015-10-11,6.56656096545309
"152",2015-10-12,6.56796776356159
"153",2015-10-13,6.57064311375939
"154",2015-10-14,6.61926422747837
